업종	ACCODE	NAME	P_ACCODE
보험업	210000	영업수익	
보험업	200730	영업수익/보험료수익	210000
보험업	200800	영업수익/재보험수익	210000
보험업	200850	영업수익/재보험금수익	210000
보험업	200010	영업수익/이자수익	210000
보험업	200020	영업수익/현금및예치금이자	210000
보험업	203690	영업수익/당기손익인식(지정)금융자산이자	210000
보험업	205020	영업수익/당기손익-공정가치측정금융자산이자	210000
보험업	200030	영업수익/유가증권이자	210000
보험업	205050	영업수익/상각후원가측정금융자산이자	210000
보험업	200080	영업수익/대출채권이자	210000
보험업	200090	영업수익/예금이자	210000
보험업	203700	영업수익/대여금및수취채권이자	210000
보험업	200100	영업수익/기타이자수익	210000
보험업	200170	영업수익/수수료수익	210000
보험업	200200	영업수익/금융상품관련이익	210000
보험업	200410	영업수익/배당금수익	210000
보험업	200470	영업수익/파생상품이익	210000
보험업	200560	영업수익/외환거래이익	210000
보험업	200650	영업수익/대출채권평가및처분이익	210000
보험업	201250	영업수익/기타금융자산관련이익	210000
보험업	201440	영업수익/기타영업수익	210000
보험업	210010	영업비용	
보험업	200880	영업비용/보험계약부채(책임준비금)전입액	210010
보험업	201020	영업비용/비상위험준비금전입액	210010
보험업	201030	영업비용/지급보험금	210010
보험업	201070	영업비용/보험금비용	210010
보험업	201120	영업비용/배당금비용	210010
보험업	201130	영업비용/환급금비용	210010
보험업	203900	영업비용/손해조사비	210010
보험업	201180	영업비용/재보험비용	210010
보험업	201220	영업비용/재보험료비용	210010
보험업	201600	영업비용/사업비	210010
보험업	201610	영업비용/신계약비	210010
보험업	201650	영업비용/유지비	210010
보험업	201660	영업비용/급여	210010
보험업	201670	영업비용/퇴직급여	210010
보험업	201680	영업비용/명예퇴직금	210010
보험업	201690	영업비용/복리후생비	210010
보험업	290010	영업비용/기타	210010
보험업	202070	영업비용/(이연신계약비)	210010
보험업	202080	영업비용/신계약비상각비	210010
보험업	202090	영업비용/재산관리비	210010
보험업	200110	영업비용/이자비용	210010
보험업	203940	영업비용/당기손익인식(지정)금융부채이자	210010
보험업	205220	영업비용/당기손익-공정가치측정금융부채이자	210010
보험업	200120	영업비용/예수부채이자	210010
보험업	200130	영업비용/차입부채이자	210010
보험업	200140	영업비용/기타이자비용	210010
보험업	200180	영업비용/수수료비용	210010
보험업	200310	영업비용/금융상품관련손실	210010
보험업	200510	영업비용/파생상품손실	210010
보험업	200600	영업비용/외환거래손실	210010
보험업	200690	영업비용/대출채권평가및처분손실	210010
보험업	201370	영업비용/기타금융자산관련손실	210010
보험업	201500	영업비용/기타영업비용	210010
보험업	202340	영업이익	
보험업	202350	영업외수익	
보험업	202360	영업외수익/이자수익	202350
보험업	202370	영업외수익/배당금수익	202350
보험업	202380	영업외수익/외환거래이익	202350
보험업	202420	영업외수익/수입수수료	202350
보험업	202470	영업외수익/유가증권처분이익	202350
보험업	202510	영업외수익/유가증권손상차손환입	202350
보험업	202550	영업외수익/종속기업,공동지배기업및관계기업관련이익	202350
보험업	202600	영업외수익/파생상품이익	202350
보험업	202640	영업외수익/사채상환이익	202350
보험업	202650	영업외수익/자산처분이익	202350
보험업	202690	영업외수익/자산재평가이익	202350
보험업	202700	영업외수익/자산손상차손환입	202350
보험업	290020	영업외수익/기타영업외수익	202350
보험업	202790	영업외비용	
보험업	202800	영업외비용/이자비용	202790
보험업	202810	영업외비용/외환거래손실	202790
보험업	202850	영업외비용/지급수수료	202790
보험업	202860	영업외비용/기부금	202790
보험업	202890	영업외비용/유가증권처분손실	202790
보험업	202930	영업외비용/유가증권손상차손	202790
보험업	202970	영업외비용/종속기업,공동지배기업및관계기업관련손실	202790
보험업	203020	영업외비용/파생상품손실	202790
보험업	203060	영업외비용/사채상환손실	202790
보험업	203070	영업외비용/자산처분손실	202790
보험업	203110	영업외비용/자산손상차손	202790
보험업	203160	영업외비용/자산재평가손실	202790
보험업	290030	영업외비용/기타영업외비용	202790
보험업	203200	법인세비용차감전계속사업이익	
보험업	203210	법인세비용	
보험업	203245	종속회사매수일전순손익	
보험업	205360	처분된종속회사순손익	
보험업	203220	계속사업이익	
보험업	203230	중단사업이익	
보험업	203240	중단사업이익법인세효과	
보험업	203250	당기순이익	
보험업	203260	당기순이익/(지배주주지분)당기순이익	203250
보험업	203270	당기순이익/(비지배주주지분)당기순이익	203250
보험업	203280	당기순이익/(지배주주지분)연결당기순이익	203250
보험업	203290	기타포괄이익	
보험업	203300	기타포괄이익/금융자산평가이익	203290
보험업	205370	기타포괄이익/기타포괄손익-공정가치측정금융자산평가손익	203290
보험업	205380	기타포괄이익/당기손익조정접근법조정손익	203290
보험업	205390	기타포괄이익/당기손익-공정가치측정금융부채평가손익	203290
보험업	203310	기타포괄이익/매도가능금융자산평가이익	203290
보험업	203320	기타포괄이익/관계기업등기타포괄이익	203290
보험업	203330	기타포괄이익/환산관련외환차이(환율변동차이)	203290
보험업	203340	기타포괄이익/해외사업장순투자위험회피	203290
보험업	203350	기타포괄이익/현금흐름위험회피적립금	203290
보험업	203360	기타포괄이익/확정급여제도의보험수리적이익	203290
보험업	203370	기타포괄이익/주식기준보상적립금	203290
보험업	203380	기타포괄이익/재평가이익	203290
보험업	290040	기타포괄이익/기타	203290
보험업	203400	기타포괄이익/기타포괄이익관련법인세	203290
보험업	203410	총포괄이익	
보험업	203420	총포괄이익/(지배주주지분)총포괄이익	203410
보험업	203430	총포괄이익/(비지배주주지분)총포괄이익	203410
보험업	203440	주당계속사업이익	
보험업	203450	주당순이익	
보험업	203460	희석주당계속사업이익	
보험업	203470	희석주당순이익	
보험업	203480	(지배주주지분)주당계속사업이익	
보험업	203490	(지배주주지분)주당순이익	
보험업	203500	(지배주주지분)희석주당계속사업이익	
보험업	203510	(지배주주지분)희석주당순이익	
1차 비철금속 제조업	200000	매출액(수익)	
1차 비철금속 제조업	200010	내수	
1차 비철금속 제조업	200020	수출	
1차 비철금속 제조업	200040	매출액(수익)/제품매출액	200000
1차 비철금속 제조업	200070	매출액(수익)/상품매출액	200000
1차 비철금속 제조업	200100	매출액(수익)/재화의판매로인한수익(상품,제품매출액)	200000
1차 비철금속 제조업	200130	매출액(수익)/건설계약으로인한수익(공사수익)	200000
1차 비철금속 제조업	200160	매출액(수익)/분양수익	200000
1차 비철금속 제조업	200170	매출액(수익)/용역의제공으로인한수익(매출액)	200000
1차 비철금속 제조업	200220	매출액(수익)/지분법이익	200000
1차 비철금속 제조업	200230	매출액(수익)/금융수익	200000
1차 비철금속 제조업	200240	매출액(수익)/배당수익	200000
1차 비철금속 제조업	200250	매출액(수익)/이자수익	200000
1차 비철금속 제조업	290100	매출액(수익)/기타수익	200000
1차 비철금속 제조업	200360	매출원가	
1차 비철금속 제조업	200380	매출원가/제품매출원가	200360
1차 비철금속 제조업	200460	매출원가/상품매출원가	200360
1차 비철금속 제조업	200550	매출원가/상품·제품매출원가	200360
