업종구분	ACCODE	NAME	P_ACCODE
은행 및 저축기관;	110000	자산	
은행 및 저축기관;	110010	현금및예치금	
은행 및 저축기관;	110020	현금및예치금/현금및현금성자산	110010
은행 및 저축기관;	110030	현금및예치금/외국통화	110010
은행 및 저축기관;	110040	현금및예치금/원화예치금	110010
은행 및 저축기관;	110050	현금및예치금/지급준비예치금	110010
은행 및 저축기관;	110060	현금및예치금/기타예치금	110010
은행 및 저축기관;	110070	현금및예치금/외화예치금	110010
은행 및 저축기관;	110110	현금및예치금/금예치	110010
은행 및 저축기관;	110120	현금및예치금/기타	110010
은행 및 저축기관;	110130	당기손익인식(지정)금융자산	
은행 및 저축기관;	110145	당기손익-공정가치측정금융자산	
은행 및 저축기관;	110135	파생결합증권(신종증권)	
은행 및 저축기관;	110140	단기매매금융자산	
은행 및 저축기관;	110150	단기매매금융자산/주식	110140
은행 및 저축기관;	190010	단기매매금융자산/채권	110140
은행 및 저축기관;	190020	단기매매금융자산/기타	110140
은행 및 저축기관;	111870	매매목적파생상품자산	
은행 및 저축기관;	111930	위험회피파생상품자산	
은행 및 저축기관;	110230	매도가능금융자산	
은행 및 저축기관;	110240	매도가능금융자산/주식	110230
은행 및 저축기관;	190030	매도가능금융자산/채권	110230
은행 및 저축기관;	110280	매도가능금융자산/출자금	110230
은행 및 저축기관;	110290	매도가능금융자산/수익증권(집합투자증권)	110230
은행 및 저축기관;	110300	매도가능금융자산/외화증권	110230
은행 및 저축기관;	110310	매도가능금융자산/기타	110230
은행 및 저축기관;	110315	기타포괄손익-공정가치측정금융자산	
은행 및 저축기관;	110320	만기보유금융자산	
은행 및 저축기관;	190040	만기보유금융자산/채권	110320
은행 및 저축기관;	110360	만기보유금융자산/외화증권	110320
은행 및 저축기관;	110370	만기보유금융자산/대여증권	110320
은행 및 저축기관;	110380	만기보유금융자산/기타	110320
은행 및 저축기관;	110385	상각후원가측정유가증권	
은행 및 저축기관;	110390	관계기업등지분관련투자자산	
은행 및 저축기관;	110400	관계기업등지분관련투자자산/관계기업투자(지분법적용투자)	110390
은행 및 저축기관;	110410	관계기업등지분관련투자자산/종속기업투자	110390
은행 및 저축기관;	110420	관계기업등지분관련투자자산/조인트벤처투자(공동기업투자)	110390
은행 및 저축기관;	110430	관계기업등지분관련투자자산/기타	110390
은행 및 저축기관;	110435	기타유가증권	
은행 및 저축기관;	110505	상각후원가측정금융자산	
은행 및 저축기관;	190050	대출채권	
은행 및 저축기관;	190060	대출채권/콜론	190050
은행 및 저축기관;	190070	대출채권/내국수입유산스	190050
은행 및 저축기관;	190080	대출채권/신용카드채권	190050
은행 및 저축기관;	190090	대출채권/매입외환	190050
은행 및 저축기관;	190100	대출채권/매입어음	190050
은행 및 저축기관;	190110	대출채권/환매조건부채권매수	190050
은행 및 저축기관;	190120	대출채권/원화대출금	190050
은행 및 저축기관;	190130	대출채권/외화대출금	190050
은행 및 저축기관;	190140	대출채권/팩토링채권	190050
은행 및 저축기관;	190150	대출채권/지급보증대지급금	190050
