P_CODE	TERM	자산총계	시가총액_억	RANK_시가총액	RISK	거래량	매수일	종목명	매수가	매도일	매도가
000020	2021/12	4478.044869400001	3603.15963	70.60621497707591	212	116780	20220421	동화약품	12950	20220422	12900
000050	2021/12	12708.051182300002	4427.566105	75.64951604686703	202	5798	20220421	경방	16200	20220422	16150
000070	2021/12	44605.886886800006	7587.944106	83.90219052470708	67	8342	20220421	삼양홀딩스	89900	20220422	88600
000080	2021/12	36310.514396800005	25598.768015	94.29444727457972	235	232957	20220421	하이트진로	36750	20220422	36500
000100	2021/12	24638.1180495	43645.959696	96.53591441670912	315	91931	20220421	유한양행	59600	20220422	59600
000120	2021/12	89939.2851638	28515.43	95.05858380030566	132	46930	20220421	CJ대한통운	127000	20220422	125000
000140	2021/12	42362.98193	3330.1707775	68.26286296484973	73	30643	20220421	하이트진로홀딩스	14300	20220422	14350
000150	2021/12	260098.52171750003	15780.262425	91.64544065206317	59	78250	20220421	두산	98000	20220422	95500
000180	2021/12	7037.401048400001	1886.78078	49.26133469179827	214	362524	20220421	성창기업지주	2600	20220422	2705
000210	2021/12	83229.62606000001	12615.442168	90.01528273051453	71	34334	20220421	DL	59700	20220422	60200
000220	2021/12	1929.8528760000002	1328.6142621	34.99745287824758	113	126068	20220421	유유제약	7800	20220422	7710
000230	2021/12	9207.625180000001	5954.8464	80.84564442180337	183	5038956	20220421	일동홀딩스	51600	20220422	51600
000240	2021/12	40812.29755	13480.80408	90.57564951604687	186	56283	20220421	한국앤컴퍼니	14100	20220422	14200
000250	2021/12	3439.47668	9186.9045435	86.14365766683648	264	103727	20220421	삼천당제약	39800	20220422	40350
000270	2021/12	668499.9700000001	323479.950906	99.54151808456444	124	1634019	20220421	기아	79900	20220422	79800
000320	2021/12	10555.3718216	1681.3306015	44.93122771268467	105	16912	20220421	노루홀딩스	12900	20220422	12650
000390	2021/12	6120.977360000001	2701.3044717	61.69128884360673	146	42671	20220421	삼화페인트	10100	20220422	9930
000430	2021/12	9830.2951733	2117.3	53.285787060621495	22	54523	20220421	대원강업	3435	20220422	3415
000440	2021/12	644.6447781	1927.296735	50.331125827814574	261	298865	20220421	중앙에너비스	31000	20220422	30950
000480	2021/12	13493.359772700001	3308	68.11003565970454	121	312	20220421	조선내화	82400	20220422	82700
000490	2021/12	12606.390759900001	3725.32897	71.26846663270504	124	588326	20220421	대동	15700	20220422	15700
000500	2021/12	6589.6642882000015	1119.133343	27.61079979623026	109	33690	20220421	가온전선	23393	20220422	23221
000520	2021/12	2264.0498305	1164.639825	29.597554763117678	134	39875	20220421	삼일제약	8480	20220422	8500
000590	2021/12	3537.1699575000002	800.056026	15.078960774325012	137	713	20220421	CS홀딩스	70500	20220422	69300
000640	2021/12	16913.88336	7015.548865	82.73051451859399	138	8295	20220421	동아쏘시오홀딩스	111000	20220422	110500
000650	2021/12	627.0604993000001	970.44038	21.54865002547122	164	266	20220421	천일고속	67900	20220422	67900
000660	2021/12	963864.7400000001	804442.613325	99.8981151299032	173	3199858	20220421	SK하이닉스	113000	20220422	110500
000670	2021/12	55210.0140562	13023.2228	90.32093734080489	121	673	20220421	영풍	721000	20220422	707000
000680	2021/12	13093.731980600001	2986.6343064	64.49312277126846	89	146790	20220421	LS네트웍스	3870	20220422	3790
000700	2021/12	5017.070922	1604.1756192	43.14824248599083	72	27562	20220421	유수홀딩스	6140	20220422	6160
000720	2021/12	196372.64	49163.5702475	96.84156902699948	127	364881	20220421	현대건설	44200	20220422	44150
000760	2021/12	2748.2807300000004	522.2	4.482934284258787	83	29043	20220421	이화산업	18650	20220422	18650
000850	2021/12	4254.3685732	806.3	15.282730514518594	92	2773	20220421	화천기공	35600	20220422	36650
000860	2021/12	9040.1095234	1673.75	44.880285277636276	60	8824	20220421	강남제비스코	26000	20220422	25750
000880	2021/12	2023664.0200000003	22824.9348075	93.83596535914417	46	105821	20220421	한화	30800	20220422	30450
000910	2021/12	3661.6515103	1167.7491012	29.852266938359655	100	317978	20220421	유니온	7550	20220422	7480
000950	2021/12	3833.1346926	987.84	21.956189505858383	159	16891	20220421	전방	60100	20220422	58800
000970	2021/12	4230.8995178000005	2371.252	57.361181864493126	123	246085	20220421	한국주철관	10350	20220422	10400
000990	2021/12	15499.3789585	31700.591832	95.51706571574121	241	467636	20220421	DB하이텍	73200	20220422	71400
001000	2021/12	328.4952023	596.013607	7.28476821192053	272	66586	20220421	신라섬유	2405	20220422	2455
001020	2021/12	4971.67643	916.588428	19.612837493632195	148	656288	20220421	페이퍼코리아	2115	20220422	2100
001040	2021/12	419559.95804000006	25792.466232	94.34538970962812	65	29585	20220421	CJ	88800	20220422	88400
001060	2021/12	6330.531364	6487.0886925	81.76260825267447	190	71673	20220421	JW중외제약	28600	20220422	29250
001070	2021/12	2326.1212033	2671.2	61.28374936321956	297	1323	20220421	대한방직	50400	20220422	50400
001080	2021/06	2582.41793	1128.8	28.17116658176261	189	6211	20220421	만호제강	27600	20220422	27200
001120	2021/12	67468.89021740001	14690.04	91.08507386653082	94	535889	20220421	LX인터내셔널	37100	20220422	37900
001130	2021/12	13215.973810000001	3278.6	68.00815078960774	77	16123	20220421	대한제분	185000	20220422	194000
001210	2021/12	838.49544	464.15767275	3.1584309730005096	159	65117	20220421	금호전기	2235	20220422	2225
001230	2021/12	63341.10919060001	19038.8310315	92.96994396332144	128	1257199	20220421	동국제강	19200	20220422	19950
001250	2021/12	14426.818210000001	3520.0650346	69.89302088639838	107	114660239	20220421	GS글로벌	3750	20220422	4265
001260	2021/12	2739.7834900000003	1317.087876	34.64085583290881	147	28395	20220421	남광토건	13700	20220422	13400
001340	2021/12	3592.0842976000004	2573.8247211	60.16301579215486	200	929214	20220421	백광산업	5720	20220422	5730
001360	2021/12	1454.5607833000001	2699.9155758	61.58940397350994	181	173644	20220421	삼성제약	4065	20220422	4020
001380	2021/12	1870.2145439	903.7792743	19.001528273051452	181	1069458	20220421	SG글로벌	2040	20220422	2010
001390	2021/12	48848.9228021	6274.40844	81.55883851248089	72	2948239	20220421	KG케미칼	47550	20220422	45250
001420	2021/12	374.3904067	390.64	1.5792154865002548	306	5288	20220421	태원물산	5240	20220422	5140
001430	2021/12	35259.965555	6867.5957885	82.37391747325522	55	129297	20220421	세아베스틸지주	19150	20220422	19150
001460	2021/12	6844.3451215000005	2866.98285	63.62710137544575	213	246	20220421	BYC	459000	20220422	459000
001470	2021/12	5513.7855266	4699.0660864	76.71930718288334	199	5194410	20220421	삼부토건	2630	20220422	2560
001530	2021/12	9931.4411743	6839.512225	82.32297503820682	210	68711	20220421	DI동일	26800	20220422	26750
001540	2021/12	2117.9619106	1499.8783	39.93886907794192	158	53879	20220421	안국약품	11650	20220422	11500
001550	2021/12	1037.7871298000002	1313.636467	34.53897096281202	311	151324	20220421	조비	24750	20220422	25300
