P_CODE	회사명	상장일	업종	시장구분	상장주식수	시가총액
003280	흥아해운	1976/06/29	운수창고업(해운사)	KOSPI	239125028	1374969
005930	삼성전자	1975/06/11	전기전자(반도체와반도체장비)	KOSPI	5969782550	461464191
000660	SK하이닉스	1996/12/26	전기전자(반도체와반도체장비)	KOSPI	728002365	75712246
035420	NAVER	2008/11/28	서비스업(양방향미디어와서비스)	KOSPI	164263395	66608807
207940	삼성바이오로직스	2016/11/10	의약품(제약)	KOSPI	66165000	61004130
005935	삼성전자우	1989/09/25	전기전자(반도체와반도체장비)	KOSPI	822886700	59000976
051910	LG화학	2001/04/25	화학(화학)	KOSPI	70592343	53720773
035720	카카오	2017/07/10	서비스업(양방향미디어와서비스)	KOSPI	444707140	53142503
006400	삼성SDI	1979/02/27	전기전자(전기제품)	KOSPI	68764530	49923049
005380	현대차	1974/06/28	운수장비(자동차)	KOSPI	213668187	44229315
068270	셀트리온	2018/02/09	의약품(제약)	KOSPI	137934716	37863080
000270	기아	1973/07/21	운수장비(자동차)	KOSPI	405363347	33483012
005490	POSCO	1988/06/10	철강금속(철강)	KOSPI	87186835	30079458
012330	현대모비스	1989/09/05	운수장비(자동차부품)	KOSPI	94793094	24646204
028260	삼성물산	2014/12/18	유통업(복합기업)	KOSPI	186887081	23921546
096770	SK이노베이션	2007/07/25	화학(석유와가스)	KOSPI	92465564	23023925
066570	LG전자	2002/04/22	전기전자(전자제품)	KOSPI	163647814	22828870
017670	SK텔레콤	1989/11/07	통신업(무선통신서비스)	KOSPI	72060143	22230554
105560	KB금융	2008/10/10	기타금융업(은행)	KOSPI	415807920	22037820
051900	LG생활건강	2001/04/25	화학(화장품)	KOSPI	15618197	20912766
055550	신한지주	2001/09/10	기타금융업(은행)	KOSPI	516599554	20483172
034730	SK	2009/11/11	기타금융업(복합기업)	KOSPI	70360297	18926920
011200	HMM	1995/10/05	운수창고업(해운사)	KOSPI	405392487	15425184
015760	한국전력	1989/08/10	전기가스업(전기유틸리티)	KOSPI	641964077	15278745
003550	LG	1970/02/13	기타금융업(복합기업)	KOSPI	157300993	14975055
032830	삼성생명	2010/05/12	보험업(생명보험)	KOSPI	200000000	14480000
086790	하나금융지주	2005/12/12	기타금융업(은행)	KOSPI	300242062	13465856
009150	삼성전기	1979/02/27	전기전자(전자장비와기기)	KOSPI	74693696	13332825
