P_CODE	표준코드	한글 종목명	한글 종목약명	영문 종목명	상장일	시장구분	증권구분	소속부	주식종류	액면가	상장주식수	업종
098120	KR7098120009	(주)마이크로컨텍솔루션	마이크로컨텍솔	Micro Contact Solution Co.,Ltd.	2008/09/23	KOSDAQ	주권	벤처기업부	보통주	500	8,312,766	반도체(반도체와반도체장비)
009520	KR7009520008	(주)포스코엠텍	포스코엠텍	POSCO M-TECH CO.,LTD.	1997/11/10	KOSDAQ	주권	우량기업부	보통주	500	41,642,703	금속(철강)
095570	KR7095570008	AJ네트웍스보통주	AJ네트웍스	AJ Networks Co.,Ltd.	2015/08/21	KOSPI	주권		보통주	1,000	46,822,295	서비스업(도로와철도운송)
006840	KR7006840003	AK홀딩스보통주	AK홀딩스	AK Holdings, Inc.	1999/08/11	KOSPI	주권		보통주	5,000	13,247,561	기타금융업(화학)
282330	KR7282330000	BGF리테일보통주	BGF리테일	BGF Retail	2017/12/08	KOSPI	주권		보통주	1,000	17,283,906	유통업(백화점과일반상점)
027410	KR7027410000	BGF보통주	BGF	BGF	2014/05/19	KOSPI	주권		보통주	1,000	95,716,791	기타금융업(백화점과일반상점)
138930	KR7138930003	BNK금융지주보통주	BNK금융지주	BNK Financial Group Inc.	2011/03/30	KOSPI	주권		보통주	5,000	325,935,246	기타금융업(은행)
001460	KR7001460005	BYC보통주	BYC	BYC	1975/06/02	KOSPI	주권		보통주	5,000	624,615	섬유의복(섬유,의류,신발,호화품)
001040	KR7001040005	CJ보통주	CJ	CJ Corp.	1973/06/29	KOSPI	주권		보통주	5,000	29,176,998	기타금융업(복합기업)
011150	KR7011150000	CJ씨푸드보통주	CJ씨푸드	CJSEAFOODCORPORATION	1988/11/26	KOSPI	주권		보통주	500	35,930,773	음식료품(식품)
058820	KR7058820002	CMG제약	CMG제약	CMG Pharmaceutical Co., Ltd.	2001/08/31	KOSDAQ	주권	우량기업부	보통주	500	138,892,244	제약(제약)
000590	KR7000590000	CS홀딩스보통주	CS홀딩스	CSHOLDINGS	1975/12/22	KOSPI	주권		보통주	5,000	1,154,482	기타금융업(철강)
012030	KR7012030003	DB Inc.보통주	DB	DB Inc.	1993/01/06	KOSPI	주권		보통주	500	201,173,933	서비스업(IT서비스)
016610	KR7016610008	DB금융투자보통주	DB금융투자	DB Financial Investment Co., LTD.	1988/06/27	KOSPI	주권		보통주	5,000	42,446,389	증권(증권)
005830	KR7005830005	DB손해보험보통주	DB손해보험	DB INSURANCE	1973/06/28	KOSPI	주권		보통주	500	70,800,000	보험업(손해보험)
000990	KR7000990002	DB하이텍보통주	DB하이텍	DB HiTek Co.,LTD	1975/12/12	KOSPI	주권		보통주	5,000	44,398,588	전기전자(반도체와반도체장비)
139130	KR7139130009	DGB금융지주보통주	DGB금융지주	DGB Financial Group	2011/06/07	KOSPI	주권		보통주	5,000	169,145,833	기타금융업(은행)
001530	KR7001530005	DI동일보통주	DI동일	DI DONGIL	1964/01/04	KOSPI	주권		보통주	5,000	2,510,655	유통업(섬유,의류,신발,호화품)
001880	KR7001880004	DL건설보통주	DL건설	DLConstruction	1977/12/22	KOSPI	주권		보통주	5,000	22,053,284	건설업(건설)
000210	KR7000210005	DL보통주	DL	DL	1976/02/02	KOSPI	주권		보통주	5,000	20,955,884	기타금융업(건설)
375500	KR7375500006	DL이앤씨보통주	DL이앤씨	DL E&C CO., LTD.	2021/01/25	KOSPI	주권		보통주	5,000	19,358,738	건설업(건설)
155660	KR7155660004	DSR보통주	DSR	DSR CORP	2013/05/15	KOSPI	주권		보통주	500	16,000,000	철강금속(비철금속)
069730	KR7069730000	DSR제강보통주	DSR제강	DSRWIRECORP	2003/01/28	KOSPI	주권		보통주	500	14,400,000	철강금속(철강)
017940	KR7017940008	E1보통주	E1	E1Corporation	1997/08/27	KOSPI	주권		보통주	5,000	6,860,000	유통업(가스유틸리티)
365550	KR7365550003	ESR켄달스퀘어리츠보통주	ESR켄달스퀘어리츠	ESR KENDALL SQUARE REIT	2020/12/23	KOSPI	부동산투자회사		보통주	1,000	143,259,000	서비스업(부동산)
050120	KR7050120005	ES큐브	ES큐브	ES CUBE	2002/04/25	KOSDAQ	주권	중견기업부	보통주	5,000	13,564,086	도매(기타금융)
383220	KR7383220001	F&F보통주	F&F	F&F	2021/05/21	KOSPI	주권		보통주	500	7,661,415	섬유의복(섬유,의류,신발,호화품)
007700	KR7007700008	F&F홀딩스	F&F홀딩스	F&F Holdings	1984/10/04	KOSPI	주권		보통주	500	39,114,367	섬유의복(섬유,의류,신발,호화품)
006360	KR7006360002	GS건설보통주	GS건설	GS Engineering & Construction Corp	1981/08/03	KOSPI	주권		보통주	5,000	85,581,490	건설업(건설)
078930	KR7078930005	GS보통주	GS	GS Holdings	2004/08/05	KOSPI	주권		보통주	5,000	92,915,378	기타금융업(석유와가스)
012630	KR7012630000	HDC보통주	HDC	HDC HOLDINGS CO.,Ltd	1996/10/16	KOSPI	주권		보통주	5,000	59,741,721	기타금융업(건설)
294870	KR7294870001	HDC현대산업개발보통주	HDC현대산업개발	HYUNDAI DEVELOPMENT COMPANY	2018/06/12	KOSPI	주권		보통주	5,000	65,907,330	건설업(건설)
003560	KR7003560000	IHQ보통주	IHQ	IHQ	1973/12/18	KOSPI	주권		보통주	500	146,235,748	서비스업(방송과엔터테인먼트)
175330	KR7175330000	JB금융지주보통주	JB금융지주	JB Financial Group Co., Ltd.	2013/07/18	KOSPI	주권		보통주	5,000	196,982,894	기타금융업(은행)
234080	KR7234080000	JW생명과학보통주	JW생명과학	JW LIFESCIENCE	2016/10/27	KOSPI	주권		보통주	2,500	15,834,554	의약품(제약)
001060	KR7001060003	JW중외제약보통주	JW중외제약	JWPHARMACEUTICAL	1976/06/14	KOSPI	주권		보통주	2,500	21,539,926	의약품(제약)
096760	KR7096760004	JW홀딩스 보통주	JW홀딩스	JW HOLDINGS CORPORATION	2007/07/31	KOSPI	주권		보통주	500	68,441,182	기타금융업(제약)
105560	KR7105560007	KB금융지주 보통주	KB금융	KB Financial Group	2008/10/10	KOSPI	주권		보통주	5,000	415,807,920	기타금융업(은행)
024120	KR7024120008	KB오토시스	KB오토시스	KB Autosys Co.,Ltd	1994/12/07	KOSDAQ	주권	우량기업부	보통주	500	11,500,000	운송장비,부품(자동차부품)
009070	KR7009070004	KCTC 보통주	KCTC	KCTC	1978/09/29	KOSPI	주권		보통주	500	30,000,000	운수창고업(항공화물운송과물류)
044180	KR7044180008	KD	KD	KD Corporation	2000/11/16	KOSDAQ	주권	중견기업부	보통주	500	16,525,360	종합건설(건설)
016380	KR7016380008	KG동부제철보통주	KG동부제철	KG DONGBUSTEEL	1986/02/03	KOSPI	주권		보통주	5,000	100,008,897	철강금속(철강)
001390	KR7001390004	KG케미칼보통주	KG케미칼	KG Chemical	1989/08/25	KOSPI	주권		보통주	5,000	13,866,096	화학(에너지장비및서비스)
033180	KR7033180001	KH 필룩스보통주	KH 필룩스	KH FEELUX Co.,Ltd.	2001/12/26	KOSPI	주권		보통주	500	136,730,264	전기전자(전기제품)
001940	KR7001940006	KISCO홀딩스보통주	KISCO홀딩스	KISCO Holdings	1989/11/13	KOSPI	주권		보통주	1,000	18,476,380	철강금속(철강)
025000	KR7025000001	KPX케미칼보통주	KPX케미칼	KPXCHEMICAL	1994/12/27	KOSPI	주권		보통주	5,000	4,840,000	화학(화학)
092230	KR7092230002	KPX홀딩스보통주	KPX홀딩스	KPXHOLDINGS	2006/10/12	KOSPI	주권		보통주	5,000	4,224,646	화학(화학)
