날짜	WEEK	UED
2021-01-04	2	1
2021-01-05	2	1
2021-01-06	2	1
2021-01-07	2	1
2021-01-08	2	0
2021-01-11	3	0
2021-01-12	3	0
2021-01-13	3	0
2021-01-14	3	0
2021-01-15	3	0
2021-01-18	4	0
2021-01-19	4	0
2021-01-20	4	1
2021-01-21	4	1
2021-01-22	4	-1
2021-01-25	5	-1
2021-01-26	5	-1
2021-01-27	5	-1
2021-01-28	5	-1
2021-01-29	5	-1
2021-02-01	6	-1
2021-02-02	6	0
2021-02-03	6	0
2021-02-04	6	0
2021-02-05	6	0
2021-02-08	7	0
2021-02-09	7	0
2021-02-10	7	1
2021-02-15	8	1
2021-02-16	8	1
2021-02-17	8	1
2021-02-18	8	0
2021-02-19	8	0
2021-02-22	9	0
2021-02-23	9	-1
2021-02-24	9	-1
2021-02-25	9	-1
2021-02-26	9	-1
2021-03-02	10	-1
2021-03-03	10	0
2021-03-04	10	0
2021-03-05	10	0
2021-03-08	11	0
2021-03-09	11	0
2021-03-10	11	0
2021-03-11	11	0
2021-03-12	11	1
2021-03-15	12	1
2021-03-16	12	1
2021-03-17	12	1
2021-03-18	12	-1
2021-03-19	12	-1
2021-03-22	13	-1
2021-03-23	13	-1
2021-03-24	13	-1
2021-03-25	13	-1
2021-03-26	13	-1
2021-03-29	14	-1
2021-03-30	14	1
2021-03-31	14	1
2021-04-01	14	1
2021-04-02	14	1
2021-04-05	15	0
2021-04-06	15	0
2021-04-07	15	0
2021-04-08	15	0
2021-04-09	15	0
2021-04-12	16	0
2021-04-13	16	0
2021-04-14	16	1
2021-04-15	16	2
2021-04-16	16	1
2021-04-19	17	1
2021-04-20	17	0
2021-04-21	17	0
2021-04-22	17	0
2021-04-23	17	0
2021-04-26	18	0
2021-04-27	18	0
2021-04-28	18	0
2021-04-29	18	-1
2021-04-30	18	-1
2021-05-03	19	-1
2021-05-04	19	-1
2021-05-06	19	-1
2021-05-07	19	-1
2021-05-10	20	-1
2021-05-11	20	-1
2021-05-12	20	-1
2021-05-13	20	0
2021-05-14	20	0
2021-05-17	21	0
2021-05-18	21	0
2021-05-20	21	0
2021-05-21	21	0
2021-05-24	22	0
2021-05-25	22	0
2021-05-26	22	0
2021-05-27	22	0
2021-05-28	22	0
2021-05-31	23	0
2021-06-01	23	0
2021-06-02	23	0
2021-06-03	23	0
2021-06-04	23	0
2021-06-07	24	0
2021-06-08	24	0
2021-06-09	24	0
2021-06-10	24	0
2021-06-11	24	0
2021-06-14	25	0
2021-06-15	25	0
2021-06-16	25	0
2021-06-17	25	0
2021-06-18	25	1
2021-06-21	26	1
2021-06-22	26	1
2021-06-23	26	1
2021-06-24	26	1
2021-06-25	26	1
2021-06-28	27	1
2021-06-29	27	1
2021-06-30	27	1
2021-07-01	27	1
2021-07-02	27	1
2021-07-05	28	1
2021-07-06	28	1
2021-07-07	28	-2
2021-07-08	28	-1
2021-07-09	28	-1
2021-07-12	29	0
2021-07-13	29	0
2021-07-14	29	0
2021-07-15	29	0
2021-07-16	29	0
2021-07-19	30	0
2021-07-20	30	0
2021-07-21	30	1
2021-07-22	30	1
2021-07-23	30	1
2021-07-26	31	1
2021-07-27	31	1
2021-07-28	31	1
2021-07-29	31	1
2021-07-30	31	-2
2021-08-02	32	-1
2021-08-03	32	-1
2021-08-04	32	-1
2021-08-05	32	-1
2021-08-06	32	-1
2021-08-09	33	-1
2021-08-10	33	-1
2021-08-11	33	-1
2021-08-12	33	-1
2021-08-13	33	-1
2021-08-17	34	-1
2021-08-18	34	-1
2021-08-19	34	-1
2021-08-20	34	-1
2021-08-23	35	-1
2021-08-24	35	-1
2021-08-25	35	0
2021-08-26	35	0
2021-08-27	35	0
2021-08-30	36	0
2021-08-31	36	0
2021-09-01	36	0
2021-09-02	36	0
2021-09-03	36	2
2021-09-06	37	-1
2021-09-07	37	-1
2021-09-08	37	-1
2021-09-09	37	-1
2021-09-10	37	-1
2021-09-13	38	-1
2021-09-14	38	-1
2021-09-15	38	-1
2021-09-16	38	-1
2021-09-17	38	-1
2021-09-23	39	-1
2021-09-24	39	-1
2021-09-27	40	-1
2021-09-28	40	-1
2021-09-29	40	-1
2021-09-30	40	-1
2021-10-01	40	-1
2021-10-05	41	-1
2021-10-06	41	-1
2021-10-07	41	0
2021-10-08	41	0
2021-10-12	42	0
2021-10-13	42	0
2021-10-14	42	0
2021-10-15	42	0
2021-10-18	43	0
2021-10-19	43	0
2021-10-20	43	0
2021-10-21	43	0
2021-10-22	43	0
2021-10-25	44	0
2021-10-26	44	0
2021-10-27	44	0
2021-10-28	44	0
2021-10-29	44	0
2021-11-01	45	0
2021-11-02	45	0
2021-11-03	45	0
2021-11-04	45	0
2021-11-05	45	0
2021-11-08	46	0
2021-11-09	46	0
2021-11-10	46	0
2021-11-11	46	0
2021-11-12	46	0
2021-11-15	47	0
2021-11-16	47	0
2021-11-17	47	0
2021-11-18	47	0
2021-11-19	47	2
2021-11-22	48	1
2021-11-23	48	-1
2021-11-24	48	-1
2021-11-25	48	-1
2021-11-26	48	-1
2021-11-29	49	-1
2021-11-30	49	-1
2021-12-01	49	1
2021-12-02	49	1
2021-12-03	49	1
2021-12-06	50	1
2021-12-07	50	1
2021-12-08	50	1
2021-12-09	50	1
2021-12-10	50	1
2021-12-13	51	2
2021-12-14	51	-1
2021-12-15	51	-1
2021-12-16	51	-1
2021-12-17	51	-1
2021-12-20	52	-1
2021-12-21	52	1
2021-12-22	52	1
2021-12-23	52	2
2021-12-24	52	1
2021-12-27	1	1
